Gara;Lunghezza (km);Dislivello Positivo (m);Tempo del Vincitore (hh:mm:ss)
UTMB;171;10000;20:44:36
Andorra Ultra Trail;170;13500;40:08:00
CCC;101;6100;10:24:34
Cortina Trail;48;2600;04:22:50
Courmayeur-Champex-Chamonix;101;6100;10:24:34
Diagonale des Fous;165;9900;22:42:48
Dolomites Skyrace;21;1750;02:00:30
Dolomiti di Brenta Trail;64;4200;06:21:40
Eiger Ultra Trail;101;6700;11:42:36
Giir di Mont;32;2400;03:00:15
Gran Trail Courmayeur;105;6600;13:42:15
Grand Raid Reunion;165;9900;22:42:48
Grand Trail Courmayeur;105;6600;13:42:15
Grand Trail des Templiers;76;3400;06:44:33
Hardrock 100;161;10200;21:36:24
Hong Kong 100;103;5300;10:04:15
Istria 100 by UTMB;168;6600;21:19:00
Istria 100 by UTMB;42;1000;03:10:00
La Sportiva Lavaredo Ultra Trail;120;5800;12:38:34
Lavaredo Ultra Trail;120;5800;12:38:34
L'Echappe Belle;42;2800;04:15:30
Limone Extreme Skyrace;23;2000;02:28:44
Livigno Skymarathon;34;2700;03:36:20
Madeira Island Ultra Trail;115;7100;13:58:34
Marathon des Sables;250;3800;21:05:43
Marathon du Mont-Blanc;42;2780;03:48:47
Matterhorn Ultraks;49;3600;04:25:21
OCC;55;3500;05:14:55
Pikes Peak Marathon;42;2382;03:22:38
PTL;300;25000;104:12:30
Sierre-Zinal;31;2200;02:27:42
Skyrace des Matheysins;25;2000;02:40:12
Swiss Alps 100;160;8600;20:55:00
Swiss Canyon Trail;51;2000;04:25:00
Tarawera Ultramarathon;102;3000;07:54:12
TDS;145;9100;18:35:48
Tor des Geants;330;24000;69:59:00
Trail du Ventoux;46;2100;03:30:10
Trail Menorca;85;1200;07:08:44
Trail Val Bregaglia;42;2800;04:15:30
Trail Verbier St Bernard;61;4000;06:20:00
Transgrancanaria;128;7000;13:42:55
Transgrancanaria Marathon;42;1200;03:01:25
Transvulcania;74;4350;07:05:00
Transvulcania;45;1600;03:40:00
Trofeo Kima;52;4200;06:17:58
Trofeo Vanoni;7;500;00:29:10
Ultra Trail Australia;50;2300;04:40:00
Ultra Trail Lago d'Orta;50;3000;04:45:00
Ultra Trail Monte Rosa;170;11200;31:15:00
Ultra Trail Penedes;60;1900;05:12:05
Ultra-Trail Australia;100;4500;09:19:15
Ultra-Trail Cote d'Azur Mercantour;140;10000;21:18:25
Ultra-Trail Cape Town;100;4300;10:04:15
Ultra-Trail Snowdonia;165;8800;28:06:54
UTMB;171;10000;20:44:36
Val d'Aran by UTMB;162;10500;24:49:50
Val d'Aran by UTMB;55;3300;05:20:00
Verbier Saint Bernard;140;8800;21:44:20
Vertical Kilometer Race;5;1000;00:31:00
Western States 100;161;5500;14:09:28
Zegama-Aizkorri;42;2736;03:45:00
Zugspitz Ultratrail;102;5400;11:29:43
